type,smell,apache-cxf-2.0.6,apache-cxf-2.1.1,apache-cxf-2.2.1,apache-cxf-2.3.0,apache-cxf-2.4.0,apache-cxf-2.5.0,apache-cxf-2.6.0,apache-cxf-2.7.0,apache-cxf-3.0.0,apache-cxf-3.1.0,apache-cxf-3.2.0
ud,org.apache.cxf.simple_SeverityScore,-Infinity,-Infinity,-Infinity,79.0,86.0,88.0,93.0,96.0,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.simple_PageRank,-Infinity,-Infinity,-Infinity,9.246996201432731,10.721895832333566,10.893147434582984,6.541255944817697,6.539455370489671,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.simple_NumSetOfElement,-Infinity,-Infinity,-Infinity,3.0,3.0,3.0,3.0,3.0,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.simple_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,659.0,740.0,738.0,746.0,794.0,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.service.factory_SeverityScore,20.0,29.0,32.0,27.0,20.0,22.0,29.0,29.0,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.service.factory_PageRank,15.02702961716496,15.41332161590963,15.487444527135263,17.957514795097733,13.348508469589301,13.553391610626088,8.490078308895004,8.60930702117842,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.service.factory_NumSetOfElement,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,-Infinity,-Infinity,-Infinity,
ud,org.apache.cxf.service.factory_TotNumOfSetOfElement,329.0,457.0,552.0,659.0,740.0,738.0,746.0,794.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.service.model;org.apache.cxf.service;org.apache.cxf;org.apache.cxf.common.i18n;org.apache.cxf.common.util;org.apache.cxf.helpers;org.apache.cxf.message;org.apache.cxf.interceptor_SeverityScore,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,556.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.service.model;org.apache.cxf.service;org.apache.cxf;org.apache.cxf.common.i18n;org.apache.cxf.common.util;org.apache.cxf.helpers;org.apache.cxf.message;org.apache.cxf.interceptor_PageRank,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,132.3496330967749,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.service.model;org.apache.cxf.service;org.apache.cxf;org.apache.cxf.common.i18n;org.apache.cxf.common.util;org.apache.cxf.helpers;org.apache.cxf.message;org.apache.cxf.interceptor_NumSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,8.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.service.model;org.apache.cxf.service;org.apache.cxf;org.apache.cxf.common.i18n;org.apache.cxf.common.util;org.apache.cxf.helpers;org.apache.cxf.message;org.apache.cxf.interceptor_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,794.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.aegis.util;org.apache.cxf.aegis;org.apache.cxf.aegis.type.java5;org.apache.cxf.aegis.type_SeverityScore,-Infinity,201.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.aegis.util;org.apache.cxf.aegis;org.apache.cxf.aegis.type.java5;org.apache.cxf.aegis.type_PageRank,-Infinity,11.628115411695461,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.aegis.util;org.apache.cxf.aegis;org.apache.cxf.aegis.type.java5;org.apache.cxf.aegis.type_NumSetOfElement,-Infinity,4.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
